Name,Simbolo,Precio,Fecha,Link
Bitcoin,BTC,"41,770.70",18-03-2022,https://www.coindesk.com/price/bitcoin/
0x,ZRX,0.535085,18-03-2022,https://www.coindesk.com/price/0x/
Kava.io,KAVA,3.30,18-03-2022,https://www.coindesk.com/price/kava-io/
Bancor,BNT,2.38,18-03-2022,https://www.coindesk.com/price/bancor/
Keep Network,KEEP,0.629565,18-03-2022,https://www.coindesk.com/price/keep-network/
PAX Gold,PAXG,"1,924.66",18-03-2022,https://www.coindesk.com/price/pax-gold/
Siacoin,SC,0.009078,18-03-2022,https://www.coindesk.com/price/siacoin/
OMG Network,OMG,4.29,18-03-2022,https://www.coindesk.com/price/omgnetwork/
Livepeer,LPT,25.47,18-03-2022,https://www.coindesk.com/price/livepeer/
Bitcoin Gold,BTG,30.06,18-03-2022,https://www.coindesk.com/price/bitcoin-gold/
Skale,SKL,0.120758,18-03-2022,https://www.coindesk.com/price/skale/
ICON,ICX,0.776113,18-03-2022,https://www.coindesk.com/price/icon/
Tether,USDT,1.00,18-03-2022,https://www.coindesk.com/price/tether/
Ankr,ANKR,0.072679,18-03-2022,https://www.coindesk.com/price/ankr/
IoTeX,IOTX,0.078075,18-03-2022,https://www.coindesk.com/price/iotex/
Storj,STORJ,1.06,18-03-2022,https://www.coindesk.com/price/storj/
Qtum,QTUM,6.10,18-03-2022,https://www.coindesk.com/price/qtum/
USD Coin,USDC,0.999715,18-03-2022,https://www.coindesk.com/price/usd-coin/
Augur,REP,13.72,18-03-2022,https://www.coindesk.com/price/augur/
Kyber Network,KNC,3.39,18-03-2022,https://www.coindesk.com/price/kyber-network/
SingularDTV,SNGLS,0.000402,18-03-2022,https://www.coindesk.com/price/singulardtv/
district0x,DNT,0.071198,18-03-2022,https://www.coindesk.com/price/district0x/
Dai,DAI,0.999800,18-03-2022,https://www.coindesk.com/price/dai/
Aragon,ANT,4.68,18-03-2022,https://www.coindesk.com/price/aragon/
Enzyme,MLN,54.86,18-03-2022,https://www.coindesk.com/price/melon/
NKN,NKN,0.192416,18-03-2022,https://www.coindesk.com/price/nkn/
Civic,CVC,0.294992,18-03-2022,https://www.coindesk.com/price/civic/
Nano,NANO,2.45,18-03-2022,https://www.coindesk.com/price/nano/
XYO Network,XYO,0.016545,18-03-2022,https://www.coindesk.com/price/xyo-network/
Lisk,LSK,2.12,18-03-2022,https://www.coindesk.com/price/lisk/
Orchid,OXT,0.247698,18-03-2022,https://www.coindesk.com/price/orchid/
COTI,COTI,0.207247,18-03-2022,https://www.coindesk.com/price/coti/
Numeraire,NMR,28.03,18-03-2022,https://www.coindesk.com/price/numeraire/
iExec RLC,RLC,1.82,18-03-2022,https://www.coindesk.com/price/iexec-rlc/
Ren,REN,0.342594,18-03-2022,https://www.coindesk.com/price/ren/
Sushiswap,SUSHI,3.28,18-03-2022,https://www.coindesk.com/price/sushiswap/
Band Protocol,BAND,3.69,18-03-2022,https://www.coindesk.com/price/band-protocol/
Decred,DCR,53.45,18-03-2022,https://www.coindesk.com/price/decred/
